@relation InstanceResultListener

@attribute Key_Dataset {car}
@attribute Key_Run {1,2,3}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.rules.Prism,weka.classifiers.rules.PART,weka.classifiers.rules.DecisionTable,weka.classifiers.trees.J48,weka.classifiers.trees.LMT,weka.classifiers.trees.RandomForest,weka.classifiers.trees.RandomTree,weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'','-M 2 -C 0.25 -Q 1','-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"','-C 0.25 -M 2','-I -1 -M 15 -W 0.0','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-K 0 -M 1.0 -V 0.001 -S 1','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a'}
@attribute Key_Scheme_version_ID {1310258880025902106,8121455039782598361,2888557078165701326,-217733168393644444,-1113212459618104943,1116839470751428698,-9051119597407396024,-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of rules: 61\n','Number of rules: 53\n','Number of rules: 60\n','Number of rules: 43\n','Number of rules: 66\n','Number of rules: 67\n','Number of rules: 57\n','Number of rules: 64\n','Number of rules: 68\n','Number of rules: 63\n','Number of rules: 54\n','Number of rules: 48\n','Number of rules: 58\n','Number of rules: 52\n','Number of rules: 74\n','Number of rules: 56\n','Number of rules: 51\n','Number of rules: 59\n','Number of leaves: 123\nSize of the tree: 171\n','Number of leaves: 113\nSize of the tree: 158\n','Number of leaves: 114\nSize of the tree: 158\n','Number of leaves: 124\nSize of the tree: 174\n','Number of leaves: 122\nSize of the tree: 170\n','Number of leaves: 125\nSize of the tree: 174\n','Number of leaves: 121\nSize of the tree: 168\n','Number of leaves: 117\nSize of the tree: 162\n','Number of leaves: 120\nSize of the tree: 167\n','Number of leaves: 115\nSize of the tree: 160\n','Number of leaves: 111\nSize of the tree: 155\n','Number of leaves: 110\nSize of the tree: 153\n','Number of leaves: 128\nSize of the tree: 178\n','Number of leaves: 129\nSize of the tree: 182\n','Number of leaves: 133\nSize of the tree: 184\n','Number of leaves: 119\nSize of the tree: 166\n','Number of leaves: 129\nSize of the tree: 179\n','Number of leaves: 131\nSize of the tree: 182\n','Number of leaves: 114\nSize of the tree: 159\n','Number of leaves: 128\nSize of the tree: 179\n'}
@attribute measureNumRules numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureOutOfBagError numeric

@data

car,1,1,weka.classifiers.rules.Prism,'',1310258880025902106,20190509.0039,1555,173,152,5,16,87.861272,2.890173,9.248555,0.914628,0.015924,0.126189,8.341405,42.829529,162.982702,5370,-5207.017298,0.942097,34.203822,-33.165715,144.133722,0.918049,97.447463,0.991736,120,0.027778,1,0.972222,35,0.008264,1,0.991736,0.991736,0.991736,0.963958,0.986252,0.98932,0.968153,0.025501,0.974499,0.031847,0.971063,0.968153,0.965878,0.943353,0.943064,0.902941,0.861029,0.968153,0.029,0,0.028258,0.000202,28.258,0.202,37801,134291,16821,87.861272,22.687861,?,?,?,?,?
car,1,2,weka.classifiers.rules.Prism,'',1310258880025902106,20190509.0039,1555,173,148,5,20,85.549133,2.890173,11.560694,0.906135,0.01634,0.127827,8.956633,44.91565,156.823332,5370,-5213.176668,0.906493,35.098039,-34.07305,133.312653,0.871325,96.120355,1,121,0,0,1,32,0,0,1,1,1,1,1,1,0.96732,0.005488,0.994512,0.03268,0.973372,0.96732,0.961985,0.963049,0.945437,0.896934,0.813776,0.96732,0.035,0,0.025596,0.000166,25.596,0.166,38294,134291,16821,85.549133,22.109827,?,?,?,?,?
car,1,3,weka.classifiers.rules.Prism,'',1310258880025902106,20190509.0039,1555,173,153,7,13,88.439306,4.046243,7.514451,0.890572,0.021875,0.147902,10.858069,47.889313,177.864477,7518,-7340.135523,1.028118,46.9875,-45.875847,155.750614,0.973441,94.681835,1,119,0.073171,3,0.926829,38,0,0,0.97541,1,0.987552,0.950809,0.962889,0.970848,0.95625,0.056552,0.943448,0.04375,0.957535,0.95625,0.955749,0.924326,0.927161,0.889405,0.86241,0.95625,0.025,0,0.024958,0.000198,24.958,0.198,41051,134291,16821,88.439306,23.121387,?,?,?,?,?
car,1,4,weka.classifiers.rules.Prism,'',1310258880025902106,20190509.0039,1555,173,155,6,12,89.595376,3.468208,6.936416,0.907276,0.018634,0.136505,9.209618,44.152509,178.31038,6444,-6265.68962,1.030696,40.024845,-38.917327,150.178564,0.932786,90.500619,1,120,0,0,1,41,0,0,1,1,1,1,0.995868,0.997516,0.962733,0.008534,0.991466,0.037267,0.968944,0.962733,0.950452,0.952468,0.948474,0.897199,0.789773,0.962733,0.023,0,0.023476,0.00018,23.476,0.18,36968,134291,16821,89.595376,23.265896,?,?,?,?,?
car,1,5,weka.classifiers.rules.Prism,'',1310258880025902106,20190509.0039,1555,173,154,6,13,89.017341,3.468208,7.514451,0.905045,0.01875,0.136931,9.4132,44.862056,177.019677,6444,-6266.980323,1.023235,40.275,-39.168627,150.773298,0.942333,92.093507,1,121,0,0,1,39,0,0,1,1,1,1,1,1,0.9625,0.004664,0.995336,0.0375,0.966137,0.9625,0.95997,0.958636,0.953674,0.90134,0.791667,0.9625,0.029,0,0.028581,0.000186,28.581,0.186,39232,134291,16821,89.017341,23.121387,?,?,?,?,?
car,1,6,weka.classifiers.rules.Prism,'',1310258880025902106,20190509.0039,1555,173,156,4,13,90.17341,2.312139,7.514451,0.935846,0.0125,0.111803,6.292098,36.73366,174.558165,4296,-4121.441835,1.009007,26.85,-25.759011,157.870627,0.986691,97.788388,1,121,0.025641,1,0.974359,38,0,0,0.991803,1,0.995885,0.983042,0.990385,0.991803,0.975,0.022286,0.977714,0.025,0.974232,0.975,0.973978,0.96215,0.951258,0.913137,0.889854,0.975,0.025,0.001,0.025056,0.000192,25.056,0.192,39895,134291,16821,90.17341,23.121387,?,?,?,?,?
car,1,7,weka.classifiers.rules.Prism,'',1310258880025902106,20190509.0039,1555,173,149,13,11,86.127168,7.514451,6.358382,0.801714,0.040123,0.200308,19.750107,64.715075,178.893391,13962,-13783.106609,1.034066,86.185185,-85.080905,130.524733,0.805708,77.916531,1,121,0.02439,1,0.97561,40,0,0,0.991803,1,0.995885,0.983673,0.990385,0.991803,0.919753,0.023316,0.976684,0.080247,0.932121,0.919753,0.923358,0.908419,0.932445,0.871465,0.613992,0.919753,0.023,0,0.023455,0.00019,23.455,0.19,36664,134291,16821,86.127168,23.410405,?,?,?,?,?
car,1,8,weka.classifiers.rules.Prism,'',1310258880025902106,20190509.0039,1555,173,157,5,11,90.751445,2.890173,6.358382,0.923346,0.015432,0.124226,7.616211,40.246889,176.337243,5370,-5193.662757,1.01929,33.148148,-32.059647,157.209645,0.97043,95.206419,1,121,0,0,1,41,0,0,1,1,1,1,1,1,0.969136,0.004776,0.995224,0.030864,0.967863,0.969136,0.967255,0.963715,0.959154,0.913691,0.852381,0.969136,0.023,0,0.022804,0.000192,22.804,0.192,37347,134291,16821,90.751445,23.410405,?,?,?,?,?
car,1,9,weka.classifiers.rules.Prism,'',1310258880025902106,20190509.0039,1556,172,156,4,12,90.697674,2.325581,6.976744,0.936859,0.0125,0.111803,6.240464,36.560798,171.343597,4296,-4124.656403,0.996184,26.85,-25.779103,159.081316,0.994258,99.806715,1,120,0.025,1,0.975,39,0,0,0.991736,1,0.995851,0.983332,0.986064,0.989353,0.975,0.020572,0.979428,0.025,0.977121,0.975,0.975638,0.963292,0.952467,0.921741,0.898963,0.975,0.025,0,0.025108,0.000225,25.108,0.225,40227,134376,16736,90.697674,23.255814,?,?,?,?,?
