Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureNumRules,measureTreeSize,measureNumLeaves,measureOutOfBagError
car,1,1,weka.classifiers.rules.Prism,'',1310258880025902106,2.01905090029E7,1555.0,173.0,152.0,5.0,16.0,87.86127167630057,2.8901734104046244,9.248554913294798,0.9146275149537793,0.01592356687898089,0.12618861628126718,8.341404935719654,42.82952879620328,162.98270214015648,5370.0,-5207.017297859844,0.9420965441627542,34.203821656050955,-33.165715272992635,144.13372175827817,0.9180491831737463,97.44746319917998,0.9917355371900827,120.0,0.027777777777777776,1.0,0.9722222222222222,35.0,0.008264462809917356,1.0,0.9917355371900827,0.9917355371900827,0.9917355371900827,0.9639577594123049,0.9862523839796568,0.989319722546511,0.9681528662420382,0.02550107359024556,0.9744989264097544,0.03184713375796178,0.9710630353613002,0.9681528662420382,0.9658780709736126,0.9433529415736944,0.943063897486334,0.9029407593199358,0.8610291223927588,0.9681528662420382,0.046,0.001,0.045898,2.15E-4,45.898,0.215,37801.0,134291.0,16821.0,87.86127167630057,22.6878612716763,?,?,?,?,?
car,1,2,weka.classifiers.rules.Prism,'',1310258880025902106,2.01905090029E7,1555.0,173.0,148.0,5.0,20.0,85.54913294797687,2.8901734104046244,11.560693641618498,0.9061349693251534,0.016339869281045753,0.1278274981412284,8.956633418726325,44.91565034861037,156.82333183194044,5370.0,-5213.176668168059,0.9064932475834707,35.09803921568628,-34.073050118745485,133.31265250206914,0.8713245261573147,96.12035483773224,1.0,121.0,0.0,0.0,1.0,32.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9673202614379085,0.005488200369206207,0.9945117996307938,0.032679738562091505,0.9733720648753328,0.9673202614379085,0.961984793917567,0.9630492577023699,0.9454367536018107,0.8969344494801946,0.8137755102040816,0.9673202614379085,0.027,0.0,0.027222,2.14E-4,27.222,0.214,38294.0,134291.0,16821.0,85.54913294797687,22.109826589595375,?,?,?,?,?
car,1,3,weka.classifiers.rules.Prism,'',1310258880025902106,2.01905090029E7,1555.0,173.0,153.0,7.0,13.0,88.4393063583815,4.046242774566474,7.514450867052023,0.8905715681485101,0.021875,0.1479019945774904,10.858069465915781,47.88931328784378,177.86447674345123,7518.0,-7340.135523256548,1.0281183626789088,46.9875,-45.875847020353426,155.75061372641233,0.9734413357900771,94.68183539234111,1.0,119.0,0.07317073170731707,3.0,0.926829268292683,38.0,0.0,0.0,0.9754098360655737,1.0,0.9875518672199171,0.9508093313836069,0.9628893833439288,0.9708480530780093,0.95625,0.056551665289863565,0.9434483347101364,0.04375,0.9575352413979463,0.95625,0.9557485693766814,0.9243261331723447,0.9271605631633438,0.8894052939243652,0.8624099448269573,0.95625,0.027,0.001,0.02759,3.3600000000000004E-4,27.59,0.336,41051.0,134291.0,16821.0,88.4393063583815,23.121387283236995,?,?,?,?,?
car,1,4,weka.classifiers.rules.Prism,'',1310258880025902106,2.01905090029E7,1555.0,173.0,155.0,6.0,12.0,89.59537572254335,3.468208092485549,6.936416184971098,0.9072758686888079,0.018633540372670808,0.136504726557987,9.20961768273548,44.15250860417161,178.31038020859333,6444.0,-6265.689619791407,1.0306958393560308,40.024844720496894,-38.917326831002526,150.17856395654516,0.9327861115313364,90.5006186999001,1.0,120.0,0.0,0.0,1.0,41.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9958677685950413,0.9975158840108919,0.9627329192546584,0.008534445972215638,0.9914655540277845,0.037267080745341616,0.968944099378882,0.9627329192546584,0.9504517221908527,0.9524675995852441,0.9484738218146277,0.897199086716782,0.7897727272727273,0.9627329192546584,0.025,0.0,0.025262,2.01E-4,25.262,0.201,36968.0,134291.0,16821.0,89.59537572254335,23.265895953757227,?,?,?,?,?
car,1,5,weka.classifiers.rules.Prism,'',1310258880025902106,2.01905090029E7,1555.0,173.0,154.0,6.0,13.0,89.01734104046243,3.468208092485549,7.514450867052023,0.9050445103857567,0.01875,0.13693063937629152,9.413199776629913,44.862055884442334,177.01967652134468,6444.0,-6266.980323478655,1.0232351244008362,40.275,-39.16862702174159,150.7732980760328,0.9423331129752051,92.09350720119151,1.0,121.0,0.0,0.0,1.0,39.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9625,0.004664234114698511,0.9953357658853015,0.0375,0.9661368534482758,0.9625,0.9599702380952382,0.9586364465394507,0.9536742175468793,0.9013403172165765,0.7916666666666667,0.9625,0.027,0.0,0.025633,2.21E-4,25.633,0.221,39232.0,134291.0,16821.0,89.01734104046243,23.121387283236995,?,?,?,?,?
car,1,6,weka.classifiers.rules.Prism,'',1310258880025902106,2.01905090029E7,1555.0,173.0,156.0,4.0,13.0,90.17341040462428,2.3121387283236996,7.514450867052023,0.9358460304731354,0.0125,0.11180339887498948,6.292097871427112,36.733659930288795,174.55816459226634,4296.0,-4121.441835407733,1.0090067317472042,26.85,-25.759011471298333,157.87062732825544,0.9866914208015964,97.78838829876126,1.0,121.0,0.02564102564102564,1.0,0.9743589743589743,38.0,0.0,0.0,0.9918032786885246,1.0,0.9958847736625513,0.9830424331578057,0.9903846153846154,0.9918032786885246,0.975,0.022286047286047286,0.9777139527139527,0.025,0.9742322639909554,0.975,0.9739778388170202,0.9621500644196133,0.9512580270555262,0.9131373813288487,0.8898537027191997,0.975,0.026,0.001,0.026656,2.11E-4,26.656,0.211,39895.0,134291.0,16821.0,90.17341040462428,23.121387283236995,?,?,?,?,?
car,1,7,weka.classifiers.rules.Prism,'',1310258880025902106,2.01905090029E7,1555.0,173.0,149.0,13.0,11.0,86.1271676300578,7.514450867052023,6.358381502890174,0.8017135862913096,0.040123456790123455,0.20030840419244383,19.75010660308224,64.71507502705157,178.89339131250537,13962.0,-13783.106608687494,1.0340658457370253,86.18518518518519,-85.08090499189811,130.5247332878132,0.8057082301716865,77.91653050850181,1.0,121.0,0.024390243902439025,1.0,0.975609756097561,40.0,0.0,0.0,0.9918032786885246,1.0,0.9958847736625513,0.9836731951304116,0.9903846153846154,0.9918032786885246,0.9197530864197531,0.02331575025894326,0.9766842497410566,0.08024691358024691,0.9321205846706756,0.9197530864197531,0.9233579653473949,0.9084185763625429,0.9324454246760431,0.8714651456560439,0.6139922018189992,0.9197530864197531,0.024,0.0,0.024076,1.95E-4,24.076,0.195,36664.0,134291.0,16821.0,86.1271676300578,23.410404624277458,?,?,?,?,?
car,1,8,weka.classifiers.rules.Prism,'',1310258880025902106,2.01905090029E7,1555.0,173.0,157.0,5.0,11.0,90.7514450867052,2.8901734104046244,6.358381502890174,0.9233462666792845,0.015432098765432098,0.12422599874998831,7.616210987910738,40.24688881345883,176.33724250928896,5370.0,-5193.662757490711,1.0192904191288379,33.148148148148145,-32.059646651177225,157.20964520457613,0.970429908670223,95.20641913809268,1.0,121.0,0.0,0.0,1.0,41.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9691358024691358,0.004775936162221471,0.9952240638377785,0.030864197530864196,0.9678626543209876,0.9691358024691358,0.9672545561434449,0.963715389081285,0.9591540362383971,0.9136908593269192,0.8523809523809524,0.9691358024691358,0.024,0.0,0.023776,1.84E-4,23.776,0.184,37347.0,134291.0,16821.0,90.7514450867052,23.410404624277458,?,?,?,?,?
car,1,9,weka.classifiers.rules.Prism,'',1310258880025902106,2.01905090029E7,1556.0,172.0,156.0,4.0,12.0,90.69767441860465,2.3255813953488373,6.976744186046512,0.9368587213891081,0.0125,0.11180339887498948,6.240464406653529,36.56079787674848,171.34359716348771,4296.0,-4124.656402836512,0.996183704438882,26.85,-25.779102517728198,159.0813161764748,0.9942582261029674,99.80671453193474,1.0,120.0,0.025,1.0,0.975,39.0,0.0,0.0,0.9917355371900827,1.0,0.995850622406639,0.9833321660356334,0.9860638470264139,0.9893533292140739,0.975,0.020572450805008944,0.9794275491949911,0.025,0.9771206184098034,0.975,0.9756379668049793,0.963292474295589,0.9524666283320604,0.9217406693514814,0.8989626556016597,0.975,0.026,0.0,0.026559000000000003,1.9800000000000002E-4,26.559,0.198,40227.0,134376.0,16736.0,90.69767441860465,23.25581395348837,?,?,?,?,?
car,1,10,weka.classifiers.rules.Prism,'',1310258880025902106,2.01905090029E7,1556.0,172.0,163.0,6.0,3.0,94.76744186046511,3.488372093023256,1.744186046511628,0.9187890437289765,0.01775147928994083,0.13323467750529824,8.057306813967568,40.63311132720475,194.03139985197615,6444.0,-6249.968600148024,1.1280895340231172,38.1301775147929,-36.98206272276937,174.8098093754231,1.0343775702687756,91.69286116677853,0.9917355371900827,120.0,0.020833333333333332,1.0,0.9791666666666666,47.0,0.008264462809917356,1.0,0.9917355371900827,0.9917355371900827,0.9917355371900827,0.9709022038567493,0.9860638470264139,0.9893533292140739,0.9644970414201184,0.02040332649307008,0.9795966735069298,0.03550295857988166,0.9644970414201184,0.9644970414201184,0.9644970414201184,0.9440937149270481,0.9659354263643489,0.9311199573822508,0.9062350425986789,0.9644970414201184,0.027,0.001,0.025771000000000002,1.61E-4,25.771,0.161,39298.0,134376.0,16736.0,94.76744186046511,24.563953488372093,?,?,?,?,?
car,2,1,weka.classifiers.rules.Prism,'',1310258880025902106,2.01905090029E7,1555.0,173.0,154.0,7.0,12.0,89.01734104046243,4.046242774566474,6.936416184971098,0.8908897279504309,0.021739130434782608,0.14744195615489714,10.817704155302444,48.035177653341094,176.79567467234924,7518.0,-7341.204325327651,1.0219403160251401,46.69565217391305,-45.597542393339445,148.21735861720117,0.9206047119080818,90.08399976710916,1.0,121.0,0.0,0.0,1.0,40.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9565217391304348,0.006138251650173109,0.9938617483498271,0.043478260869565216,0.9505824770300826,0.9565217391304348,0.9512046959251927,0.9474925274020428,0.9528681999380897,0.898351409721008,0.7387362637362637,0.9565217391304348,0.024,0.001,0.024297999999999997,1.85E-4,24.298,0.185,38417.0,134291.0,16821.0,89.01734104046243,23.265895953757227,?,?,?,?,?
car,2,2,weka.classifiers.rules.Prism,'',1310258880025902106,2.01905090029E7,1555.0,173.0,152.0,3.0,18.0,87.86127167630057,1.7341040462427746,10.404624277456648,0.9461119480820488,0.00967741935483871,0.09837387536759294,5.221127498095617,34.23154077858181,153.72445156176133,3222.0,-3068.2755484382387,0.8885806448656725,20.787096774193547,-19.79532611895638,141.74586199527573,0.9144894322275854,102.91574968593083,1.0,121.0,0.0,0.0,1.0,34.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9806451612903225,0.001702694402905362,0.9982973055970946,0.01935483870967742,0.983225806451613,0.9806451612903225,0.9810752688172043,0.9798400043480634,0.9563374206641547,0.9196945561741384,0.8574074074074074,0.9806451612903225,0.024,0.0,0.024260999999999998,2.06E-4,24.261,0.206,38133.0,134291.0,16821.0,87.86127167630057,22.398843930635838,?,?,?,?,?
car,2,3,weka.classifiers.rules.Prism,'',1310258880025902106,2.01905090029E7,1555.0,173.0,153.0,7.0,13.0,88.4393063583815,4.046242774566474,7.514450867052023,0.8902713823846381,0.021875,0.1479019945774904,11.008808450888214,48.597203326844365,174.55350835939672,7518.0,-7343.446491640603,1.0089798171063393,46.9875,-45.89654057275377,150.85395660183283,0.9428372287614553,93.44460739218998,0.9834710743801653,119.0,0.02564102564102564,1.0,0.9743589743589743,38.0,0.01652892561983471,2.0,0.9916666666666667,0.9834710743801653,0.9875518672199171,0.9497139723250134,0.982120152574698,0.9868361757352825,0.95625,0.02405692425853716,0.9759430757414629,0.04375,0.9568444683908046,0.95625,0.9564852223920799,0.9238915605444014,0.941789229386311,0.8960067897125963,0.8416248089102425,0.95625,0.025,0.0,0.024436,2.02E-4,24.436,0.202,39545.0,134291.0,16821.0,88.4393063583815,23.121387283236995,?,?,?,?,?
car,2,4,weka.classifiers.rules.Prism,'',1310258880025902106,2.01905090029E7,1555.0,173.0,151.0,8.0,14.0,87.28323699421965,4.624277456647399,8.092485549132949,0.8695652173913043,0.025157232704402517,0.15861031714362883,12.840562746742686,52.723003247691395,169.78360441441603,8592.0,-8422.216395585583,0.9814081180024048,54.0377358490566,-52.96991443764518,136.4491531974288,0.8581707748265963,87.44280377192615,1.0,121.0,0.0,0.0,1.0,38.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.949685534591195,0.006366984251752705,0.9936330157482473,0.050314465408805034,0.9450733752620544,0.949685534591195,0.9467560849473665,0.9418766585820928,0.9471269675320491,0.88855584235124,0.6895225464190982,0.949685534591195,0.023,0.0,0.022443,1.78E-4,22.443,0.178,36181.0,134291.0,16821.0,87.28323699421965,22.976878612716764,?,?,?,?,?
car,2,5,weka.classifiers.rules.Prism,'',1310258880025902106,2.01905090029E7,1555.0,173.0,152.0,7.0,14.0,87.86127167630057,4.046242774566474,8.092485549132949,0.8853995057660626,0.0220125786163522,0.14836636618975407,11.207601190958542,49.170883226766364,172.2959143580095,7518.0,-7345.704085641991,0.9959301407977428,47.283018867924525,-46.199396765043964,145.85805187330175,0.9173462381968663,92.10949650163911,1.0,121.0,0.02631578947368421,1.0,0.9736842105263158,37.0,0.0,0.0,0.9918032786885246,1.0,0.9958847736625513,0.982701985551697,0.9903846153846154,0.9918032786885246,0.9559748427672956,0.02562422281565697,0.974375777184343,0.0440251572327044,0.9544091437998027,0.9559748427672956,0.954291576374036,0.9394958698720769,0.9420557520631101,0.8899955741575161,0.8213196782641227,0.9559748427672956,0.025,0.0,0.022722000000000003,1.34E-4,22.722,0.134,37252.0,134291.0,16821.0,87.86127167630057,22.976878612716764,?,?,?,?,?
car,2,6,weka.classifiers.rules.Prism,'',1310258880025902106,2.01905090029E7,1555.0,173.0,154.0,9.0,10.0,89.01734104046243,5.202312138728324,5.780346820809249,0.8635729563842648,0.027607361963190184,0.1661546326865134,13.371102103752524,52.95285898025629,186.1733022790586,9666.0,-9479.826697720942,1.0761462559483155,59.30061349693251,-58.15844599828799,145.7702311590801,0.894295896681473,83.10170590087745,1.0,121.0,0.023809523809523808,1.0,0.9761904761904762,41.0,0.0,0.0,0.9918032786885246,1.0,0.9958847736625513,0.9839659114574176,0.9903846153846154,0.9918032786885246,0.9447852760736196,0.027203032604885054,0.9727969673951149,0.05521472392638037,0.9460625565724631,0.9447852760736196,0.9370780630664746,0.926379744492394,0.9393126853005438,0.8788794564411995,0.728832304526749,0.9447852760736196,0.024,0.0,0.024495,1.74E-4,24.495,0.174,39317.0,134291.0,16821.0,89.01734104046243,23.55491329479769,?,?,?,?,?
car,2,7,weka.classifiers.rules.Prism,'',1310258880025902106,2.01905090029E7,1555.0,173.0,155.0,6.0,12.0,89.59537572254335,3.468208092485549,6.936416184971098,0.9052104798351488,0.018633540372670808,0.136504726557987,9.274970283553294,44.47252851786922,176.63114107824862,6444.0,-6267.368858921752,1.0209892547875643,40.024844720496894,-38.92775688771275,150.5663317302216,0.93519460702001,91.5969098239525,1.0,121.0,0.025,1.0,0.975,39.0,0.0,0.0,0.9918032786885246,1.0,0.9958847736625513,0.9833657492110001,0.9903846153846154,0.9918032786885246,0.9627329192546584,0.024529456051195185,0.9754705439488048,0.037267080745341616,0.9604546380205683,0.9627329192546584,0.9588308178856775,0.9467606658722157,0.9467526576274415,0.898139668911802,0.8291287407863,0.9627329192546584,0.024,0.0,0.024402999999999998,2.23E-4,24.403,0.223,39118.0,134291.0,16821.0,89.59537572254335,23.265895953757227,?,?,?,?,?
car,2,8,weka.classifiers.rules.Prism,'',1310258880025902106,2.01905090029E7,1555.0,173.0,156.0,4.0,13.0,90.17341040462428,2.3121387283236996,7.514450867052023,0.9356913183279743,0.0125,0.11180339887498948,6.308817612769831,36.83849456573239,172.09665266318882,4296.0,-4123.903347336811,0.994778339093577,26.85,-25.774395920855067,157.5669068518415,0.9847931678240094,98.99624158697847,1.0,121.0,0.02564102564102564,1.0,0.9743589743589743,38.0,0.0,0.0,0.9918032786885246,1.0,0.9958847736625513,0.9830424331578057,0.9903846153846154,0.9918032786885246,0.975,0.022359814116770533,0.9776401858832294,0.025,0.9750512295081968,0.975,0.9746656378600823,0.9620681712323996,0.9516652365115628,0.9147037839434178,0.9039520363275153,0.975,0.024,0.0,0.024355,1.91E-4,24.355,0.191,39592.0,134291.0,16821.0,90.17341040462428,23.121387283236995,?,?,?,?,?
car,2,9,weka.classifiers.rules.Prism,'',1310258880025902106,2.01905090029E7,1556.0,172.0,162.0,2.0,8.0,94.18604651162791,1.1627906976744187,4.651162790697675,0.9704982910595431,0.006097560975609756,0.07808688094430304,2.9172529549254413,24.74820793714855,183.24401414624342,2148.0,-1964.7559858537566,1.065372175268857,13.097560975609756,-11.98021942593754,173.90848181102027,1.0604175720184164,99.53494155700187,1.0,121.0,0.0,0.0,1.0,43.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9878048780487805,0.0029563932002956393,0.9970436067997043,0.012195121951219513,0.9885222381635581,0.9878048780487805,0.9867701404286771,0.9858337856833365,0.9726865397932399,0.9462063641469963,0.9424242424242425,0.9878048780487805,0.026,0.0,0.025491,2.03E-4,25.491,0.203,40767.0,134376.0,16736.0,94.18604651162791,23.837209302325583,?,?,?,?,?
car,2,10,weka.classifiers.rules.Prism,'',1310258880025902106,2.01905090029E7,1556.0,172.0,162.0,6.0,4.0,94.18604651162791,3.488372093023256,2.3255813953488373,0.9174311926605505,0.017857142857142856,0.1336306209562122,8.149311718462414,40.85340387860334,196.92666390474412,6444.0,-6247.073336095256,1.1449224645624658,38.357142857142854,-37.184960333900335,168.78953071709887,1.004699587601779,87.7526311780184,1.0,121.0,0.0,0.0,1.0,47.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9642857142857143,0.00777198662770802,0.9922280133722919,0.03571428571428571,0.9689516832373974,0.9642857142857143,0.9521410381855588,0.9540679753527134,0.9676078908834755,0.9208253484678559,0.7761459430979979,0.9642857142857143,0.028,0.0,0.025824000000000003,1.24E-4,25.824,0.124,41259.0,134376.0,16736.0,94.18604651162791,24.41860465116279,?,?,?,?,?
car,3,1,weka.classifiers.rules.Prism,'',1310258880025902106,2.01905090029E7,1555.0,173.0,158.0,6.0,9.0,91.32947976878613,3.468208092485549,5.202312138728324,0.9096086716884071,0.018292682926829267,0.13525044520011484,8.82982484858405,43.10812815875278,180.71287866761213,6444.0,-6263.287121332388,1.0445831136856192,39.292682926829265,-38.19077513007554,159.04551545367306,0.9697897283760553,92.83988183135861,1.0,121.0,0.046511627906976744,2.0,0.9534883720930233,41.0,0.0,0.0,0.983739837398374,1.0,0.9918032786885246,0.9684959969581862,0.9807692307692307,0.983739837398374,0.9634146341463414,0.03907702541209684,0.9609229745879032,0.036585365853658534,0.9648324410073368,0.9634146341463414,0.9607545870540672,0.9402544417616089,0.9457503243991061,0.906804508603259,0.8641124358337473,0.9634146341463414,0.026,0.001,0.025985,1.76E-4,25.985,0.176,39431.0,134291.0,16821.0,91.32947976878613,23.69942196531792,?,?,?,?,?
car,3,2,weka.classifiers.rules.Prism,'',1310258880025902106,2.01905090029E7,1555.0,173.0,155.0,6.0,12.0,89.59537572254335,3.468208092485549,6.936416184971098,0.9043659043659045,0.018633540372670808,0.136504726557987,9.346555711494291,44.853503802068246,169.14207244837252,6444.0,-6274.857927551628,0.9776998407420376,40.024844720496894,-38.97427284193557,147.47470923443345,0.915991982822568,93.6884659945699,1.0,121.0,0.025,1.0,0.975,39.0,0.0,0.0,0.9918032786885246,1.0,0.9958847736625513,0.9833657492110001,0.9903846153846154,0.9918032786885246,0.9627329192546584,0.023891959014598372,0.9761080409854015,0.037267080745341616,0.9602993585174626,0.9627329192546584,0.9613340676142609,0.9467970093054237,0.9500538412700923,0.9056925787320664,0.8618973297792742,0.9627329192546584,0.025,0.0,0.024673999999999998,1.87E-4,24.674,0.187,38455.0,134291.0,16821.0,89.59537572254335,23.265895953757227,?,?,?,?,?
